r,Menc,Menc_err_neg,Menc_err_pos,ref
0.01,30000000,10000000,10000000,Feldmeier et al. (2014)
0.12,800000000,200000000,200000000,Launhardt et al. (2002)
8.1,89502860861.5243,4994562473.79771,4858963492.60863,Bovy et al. (2012)
8.3,110417867208.191,4475949382.69688,4387023236.02078,McMillan (2011)
8.4,102421035406.904,16733918715.6299,15468328224.5319,Koposov et al. (2010)
19,208023299175.304,44317988008.381,34833267089.9207,Kuepper et al. (2015)
50,539884832748.49,19995734543.3143,268490735257.472,Wilkinson & Evans (1999)
50,529886965173.187,9997867269.6593,38536752776.2128,Sakamoto et al. (2003)
50,399914690706.928,109976539940.537,72696676468.2511,Smith et al. (2007)
50,419910425325.727,39991469076.9685,38172735113.6439,Deason et al. (2012)
60,399914690957.519,69985070910.6335,64344945146.9299,Xue et al. (2008)
80,689852841359.025,299936018002.331,110361048549.103,Gnedin et al. (2010)
100,1399701417307.77,899808054059.381,831336271726.19,Watkins et al. (2010)
120,539884832260.296,199957345314.729,123854764645.325,Battaglia et al. (2005)
150,750000000000,250000000000,250000000000,Deason et al. (2012)
200,679854974257.201,409912558030.054,313652012195.063,Bhattacherjee et al. (2014)
